10000 218829
1 0 13
2 0 2
3 2 12
4 2 5
5 4 8
6 4 3
7 4 1
8 5 6
9 0 12
10 0 17
11 0 7
12 5 8
13 5 18
14 13 14
15 2 18
16 3 5
17 0 12
18 6 14
19 0 8
20 13 3
21 6 7
22 5 14
23 5 7
24 3 13
25 13 12
26 23 6
27 15 14
28 19 6
29 13 15
30 23 3
31 25 7
32 27 15
33 8 11
34 28 20
35 1 17
36 31 12
37 25 12
38 6 20
39 11 18
40 7 2
41 17 11
42 41 17
43 29 1
44 43 2
45 2 8
46 43 2
47 2 16
48 18 16
49 36 7
50 1 1
51 50 6
52 17 3
53 37 1
54 7 1
55 6 17
56 8 15
57 55 4
58 3 16
59 21 16
60 13 12
61 21 13
62 37 16
63 21 18
64 54 11
65 40 8
66 58 5
67 39 4
68 66 5
69 3 19
70 61 12
71 17 5
72 47 5
73 2 13
74 47 16
75 6 17
76 72 10
77 6 15
78 6 20
79 73 4
80 72 1
81 22 9
82 39 19
83 14 2
84 0 6
85 55 9
86 75 18
87 74 10
88 76 7
89 35 2
90 79 16
91 20 2
92 45 6
93 8 2
94 77 8
95 28 3
96 7 10
97 21 11
98 21 20
99 45 18
100 52 5
101 43 5
102 27 6
103 96 20
104 78 3
105 49 4
106 16 2
107 86 7
108 4 16
109 72 1
110 58 17
111 71 15
112 84 17
113 110 10
114 29 11
115 6 10
116 21 7
117 66 20
118 98 1
119 7 18
120 29 1
121 0 7
122 112 3
123 55 5
124 48 2
125 96 1
126 28 14
127 122 3
128 78 11
129 71 13
130 32 5
131 52 10
132 116 4
133 10 17
134 3 19
135 12 20
136 75 19
137 134 7
138 37 18
139 93 16
140 90 14
141 86 2
142 85 17
143 61 20
144 119 8
145 90 17
146 48 10
147 112 11
148 145 7
149 49 9
150 104 15
151 115 19
152 70 14
153 54 19
154 101 20
155 60 15
156 29 8
157 146 11
158 9 18
159 129 10
160 140 3
161 92 1
162 38 1
163 145 5
164 59 13
165 144 3
166 134 6
167 35 3
168 166 1
169 165 8
170 156 12
171 99 16
172 50 13
173 52 9
174 74 2
175 51 20
176 64 1
177 66 6
178 131 19
179 33 3
180 99 1
181 9 5
182 40 16
183 150 20
184 109 14
185 90 17
186 147 8
187 116 12
188 45 1
189 103 20
190 48 5
191 114 7
192 129 13
193 162 8
194 109 15
195 164 14
196 52 16
197 124 16
198 87 20
199 144 13
200 136 2
201 127 11
202 194 5
203 22 17
204 33 19
205 73 15
206 50 11
207 101 6
208 48 4
209 188 14
210 102 14
211 42 2
212 79 6
213 124 11
214 54 15
215 145 7
216 26 12
217 133 1
218 79 2
219 61 19
220 55 1
221 150 10
222 92 11
223 130 2
224 12 6
225 199 17
226 46 8
227 8 10
228 152 15
229 119 20
230 53 8
231 229 1
232 177 1
233 165 5
234 117 9
235 30 14
236 26 8
237 128 19
238 90 6
239 156 19
240 22 2
241 81 4
242 234 4
243 45 3
244 230 1
245 123 8
246 75 16
247 123 16
248 182 17
249 60 8
250 184 15
251 125 5
252 187 18
253 65 8
254 173 11
255 91 4
256 13 17
257 161 17
258 87 15
259 227 16
260 86 7
261 129 18
262 197 19
263 91 20
264 96 7
265 110 5
266 20 19
267 46 13
268 2 19
269 111 5
270 10 7
271 133 6
272 18 3
273 42 17
274 199 9
275 110 15
276 272 7
277 132 3
278 115 16
279 221 8
280 88 4
281 164 2
282 99 14
283 82 5
284 7 3
285 230 8
286 22 2
287 164 9
288 165 15
289 4 15
290 213 5
291 95 17
292 11 6
293 38 10
294 26 4
295 282 17
296 150 19
297 70 12
298 295 3
299 121 2
300 229 17
301 151 11
302 266 19
303 99 20
304 6 10
305 94 5
306 88 16
307 305 1
308 72 8
309 128 13
310 307 18
311 153 10
312 169 17
313 4 10
314 211 12
315 292 12
316 188 14
317 63 14
318 12 3
319 317 20
